timestamp,left_elevon_ted_cdeg,right_elevon_ted_cdeg,lower_rudder_tel_cdeg,upper_rudder_tel_cdeg,left_tvc_upper_cdeg,left_tvc_lower_cdeg,right_tvc_upper_cdeg,right_tvc_lower_cdeg,left_engine_prct_thrust,right_engine_prct_thrust
3316688,0,0,0,0,-523.78564,-223.10924,-100.26816,-599.59174,7.8810306,7.8810306
3316690,0,0,0,0,-537.778,-237.32164,-108.89554,-608.4392,7.8810306,7.8810306
3316692,0,0,0,0,-544.58795,-245.73367,-117.54989,-618.6956,7.8810306,7.8810306
3316694,0,0,0,0,-547.114,-241.07382,-122.1347,-616.0945,7.8810306,7.8810306
3316696,0,0,0,0,-532.0824,-238.11632,-94.14399,-600.1779,7.8810306,7.8810306
3316698,0,0,0,0,-521.3274,-220.58443,-83.80536,-583.0624,7.8810306,7.8810306
3316700,0,0,0,0,-508.79953,-216.49896,-74.406975,-582.10645,7.8810306,7.8810306
3316702,0,0,0,0,-523.5898,-224.5308,-89.393936,-590.33496,7.8810306,7.8810306
3316704,0,0,0,0,-538.0682,-240.03651,-103.02993,-604.9982,7.8810306,7.8810306
3316706,0,0,0,0,-546.03284,-237.84325,-118.02545,-609.8359,7.8810306,7.8810306
3316708,0,0,0,0,-546.9876,-239.48315,-119.56221,-612.0578,7.8810306,7.8810306
3316710,0,0,0,0,-535.2731,-229.84589,-112.313286,-606.8861,7.8810306,7.8810306
3316712,0,0,0,0,-530.1305,-218.65909,-100.50773,-589.0363,7.8810306,7.8810306
3316714,0,0,0,0,-518.9098,-219.01834,-86.23807,-586.3466,7.8810306,7.8810306
3316716,0,0,0,0,-516.39655,-214.20415,-86.44656,-584.2542,7.8810306,7.8810306
3316718,0,0,0,0,-525.66034,-225.1004,-90.14845,-589.5885,7.8810306,7.8810306
3316720,0,0,0,0,-542.09283,-243.6725,-103.31709,-604.8968,7.8810306,7.8810306
3316722,0,0,0,0,-550.806,-255.34618,-119.55278,-624.0929,7.8810306,7.8810306
3316724,0,0,0,0,-545.67377,-245.2712,-123.29288,-622.8903,7.8810306,7.8810306
3316726,0,0,0,0,-531.4374,-225.17824,-104.07271,-597.8136,7.8810306,7.8810306
3316728,0,0,0,0,-506.9261,-213.82047,-75.84967,-582.744,7.8810306,7.8810306
3316730,0,0,0,0,-507.4442,-208.47191,-80.337654,-581.36536,7.8810306,7.8810306
3316732,0,0,0,0,-518.3272,-219.57617,-97.21595,-598.4649,7.8810306,7.8810306
3316734,0,0,0,0,-540.5278,-240.35846,-112.93657,-612.7673,7.8810306,7.8810306
3316736,0,0,0,0,-549.3661,-246.81004,-117.45543,-614.8994,7.8810306,7.8810306
